VALUE,Longitude,Latitude
1.00000000,77.2111320,28.8490883
1.00000000,77.2112345,28.8490867
1.00000000,77.2113369,28.8490850
1.00000000,77.2114393,28.8490833
1.00000000,77.2115418,28.8490816
1.00000000,77.2111301,28.8489981
1.00000000,77.2112326,28.8489965
1.00000000,77.2113350,28.8489948
1.00000000,77.2114374,28.8489931
1.00000000,77.2115399,28.8489914
1.00000000,77.2111282,28.8489080
1.00000000,77.2112306,28.8489063
1.00000000,77.2113331,28.8489046
1.00000000,77.2114355,28.8489029
1.00000000,77.2115380,28.8489012
1.00000000,77.2116404,28.8488995
1.00000000,77.2111263,28.8488178
1.00000000,77.2112287,28.8488161
1.00000000,77.2113312,28.8488144
1.00000000,77.2114336,28.8488127
1.00000000,77.2115361,28.8488110
1.00000000,77.2116385,28.8488094
1.00000000,77.1091884,28.8503610
1.00000000,77.2111244,28.8487276
1.00000000,77.2112268,28.8487259
1.00000000,77.2113293,28.8487242
1.00000000,77.2114317,28.8487225
1.00000000,77.2115342,28.8487208
1.00000000,77.2116366,28.8487192
1.00000000,77.2110200,28.8486390
1.00000000,77.2111225,28.8486374
1.00000000,77.2112249,28.8486357
1.00000000,77.2113274,28.8486340
1.00000000,77.2114298,28.8486323
1.00000000,77.2115322,28.8486306
1.00000000,77.2116347,28.8486290
1.00000000,77.2117371,28.8486273
1.00000000,77.1086725,28.8501886
1.00000000,77.1092872,28.8501790
1.00000000,77.1095946,28.8501742
1.00000000,77.1096970,28.8501726
1.00000000,77.1119510,28.8501373
1.00000000,77.1123608,28.8501308
1.00000000,77.1124632,28.8501292
1.00000000,77.1125657,28.8501276
1.00000000,77.2111206,28.8485472
1.00000000,77.2112230,28.8485455
1.00000000,77.2113255,28.8485438
1.00000000,77.2114279,28.8485421
1.00000000,77.2115303,28.8485405
1.00000000,77.2116328,28.8485388
1.00000000,77.2117352,28.8485371
1.00000000,77.2118377,28.8485354
1.00000000,77.1084658,28.8501016
1.00000000,77.1092854,28.8500888
1.00000000,77.1093879,28.8500872
1.00000000,77.1096952,28.8500824
1.00000000,77.1119492,28.8500471
1.00000000,77.1120516,28.8500455
1.00000000,77.1121541,28.8500439
1.00000000,77.1122565,28.8500422
1.00000000,77.1123590,28.8500406
1.00000000,77.1126663,28.8500358
1.00000000,77.1127688,28.8500342
1.00000000,77.2111187,28.8484570
1.00000000,77.2112211,28.8484553
1.00000000,77.2113235,28.8484536
1.00000000,77.2114260,28.8484519
1.00000000,77.2115284,28.8484503
1.00000000,77.2118358,28.8484452
